v_link_id,time,area1,area2,area3
47877895501,00:00:00,40.72,64.71,0.0
47877901601,00:00:00,10.91,93.03,0.0
47870654902,00:00:00,35.29,65.32,0.0
47871351801,00:00:00,35.71,64.19,0.0
47870484001,00:00:00,33.6,67.72,0.0
47871294101,00:00:00,30.83,51.44,0.16
47870666001,00:15:00,46.73,18.29,0.0
47875227001,00:15:00,41.17,71.12,0.0
47870854202,00:15:00,22.97,82.26,0.0
47871351801,00:15:00,38.31,63.23,0.0
47871351802,00:15:00,33.15,72.4,0.0
47874204801,00:15:00,49.32,22.4,0.0
47871256001,00:15:00,24.67,73.08,0.0
47871362401,00:15:00,50.0,9.66,0.0
47877866002,00:15:00,50.0,5.76,0.0
47877363202,00:15:00,36.54,60.78,0.18
57174250701,00:15:00,48.11,41.81,0.0
47877362902,00:15:00,28.23,76.62,0.0
47875390302,00:15:00,18.74,78.56,1.0
47871573602,00:15:00,44.94,36.5,0.0
47872666301,00:15:00,35.63,44.43,8.8
47870084001,00:15:00,44.42,40.39,0.0
47872094201,00:15:00,30.51,54.79,0.0
47872109602,00:15:00,47.6,25.4,0.0
47874156202,00:15:00,25.06,78.9,0.0
47878052001,00:15:00,15.87,64.13,0.0
47878060701,00:15:00,17.78,83.94,0.0
57174250602,00:15:00,39.79,70.42,0.0
47878073101,00:15:00,20.68,81.81,0.0
47871417201,00:15:00,38.02,77.99,0.0
47877929901,00:15:00,21.08,86.18,0.0
47877915901,00:15:00,22.09,87.14,0.0
47871346002,00:15:00,35.55,70.82,0.0
47871317202,00:15:00,49.21,15.93,0.0
47871210502,00:15:00,24.94,64.32,0.0
47871210701,00:15:00,35.81,72.5,0.0
47872101402,00:15:00,17.23,91.17,0.0
47872094202,00:15:00,42.31,37.76,0.0
57172604701,00:15:00,37.43,85.03,0.0
47873727801,00:15:00,33.9,51.35,0.0
47870286802,00:15:00,44.27,31.56,0.0
57171936801,00:15:00,41.59,41.7,0.0
47873728201,00:15:00,47.4,17.34,0.0
47872955401,00:15:00,19.27,89.35,0.0
47871210401,00:15:00,16.67,97.18,0.13
47878072101,00:15:00,20.99,88.52,0.0
47876086301,00:15:00,47.07,24.57,0.0
47878072201,00:15:00,38.07,63.94,0.0
57171273701,00:15:00,27.3,85.68,0.0
47877865901,00:15:00,28.05,63.71,0.0
47877609601,00:15:00,31.45,71.32,0.0
47870747601,00:15:00,11.25,69.17,0.0
47872071702,00:15:00,13.1,86.73,0.17
47872101401,00:15:00,26.18,78.43,0.0
47872555301,00:15:00,25.05,69.19,0.0
47870451002,00:15:00,13.91,91.11,0.0
47870654902,00:15:00,35.48,68.9,0.0
47871416901,00:15:00,19.48,79.8,0.0
57170509101,00:15:00,61.08,34.86,0.0
47874140202,00:15:00,24.32,82.23,0.0
47872559902,00:15:00,39.58,50.0,0.0
47878068201,00:15:00,17.74,68.55,0.0
47871828301,00:15:00,28.21,83.89,0.0
47871162702,00:15:00,49.37,17.35,0.0
47872666302,00:15:00,32.99,59.1,0.0
47870484001,00:15:00,29.68,100.0,0.0
47872559901,00:15:00,48.64,25.44,0.08
47877866001,00:15:00,41.45,26.29,0.0
47873728401,00:15:00,50.0,8.22,0.0
47877945001,00:15:00,31.02,80.03,0.0
47870749801,00:15:00,46.95,35.61,0.0
47878080101,00:15:00,11.66,91.69,0.0
47877865902,00:15:00,40.36,36.39,0.0
47871209901,00:15:00,47.37,21.92,0.0
47872109601,00:15:00,40.11,30.09,0.0
47872983001,00:15:00,16.01,54.58,0.0
47878059701,00:15:00,28.85,56.73,0.0
47870451001,00:15:00,19.33,89.66,0.0
47876086401,00:15:00,44.32,55.48,0.0
47878060401,00:15:00,35.95,62.24,0.13
47871573702,00:15:00,45.9,20.9,0.0
47871348702,00:15:00,16.5,95.29,0.0
47877889701,00:15:00,41.34,69.31,0.0
47871337501,00:15:00,47.85,37.46,0.0
47877362801,00:15:00,49.62,59.23,0.0
47871337502,00:15:00,47.45,20.83,0.0
47870484301,00:15:00,33.37,50.83,0.0
47870286301,00:15:00,27.56,72.21,0.0
47878059802,00:15:00,44.57,36.2,0.0
47871844201,00:15:00,48.86,15.02,0.0
47870654901,00:15:00,35.2,67.24,0.0
47871209902,00:15:00,49.56,48.98,0.0
47877901601,00:15:00,13.27,92.18,0.0
47877895501,00:15:00,39.3,64.88,0.0
47875390401,00:15:00,25.67,58.07,0.0
47871317201,00:15:00,38.5,57.23,0.0
47877895601,00:15:00,23.0,46.01,0.0
47876075601,00:15:00,47.95,24.02,0.0
47871346101,00:15:00,43.59,56.71,0.0
47877892401,00:15:00,45.34,65.93,0.0
47871324401,00:15:00,48.49,1.51,0.46
47870660302,00:15:00,26.49,77.43,0.0
47871844301,00:15:00,33.51,50.98,0.0
57170544401,00:15:00,22.49,53.77,0.0
47872632501,00:15:00,9.24,94.43,0.0
47871294101,00:15:00,33.37,61.2,0.0
47872555302,00:15:00,23.82,76.28,0.0
47871381401,00:15:00,47.8,16.26,0.0
47873728001,00:15:00,48.7,11.12,0.0
47875227101,00:15:00,15.29,92.12,0.0
47871255602,00:15:00,36.25,45.0,0.0
47870160502,00:15:00,30.71,83.15,0.0
47870666002,00:15:00,46.78,37.97,0.0
47877362802,00:15:00,40.78,29.42,0.0
47875227002,00:15:00,20.5,85.75,0.0
47876085801,00:15:00,34.51,68.32,0.0
47877609501,00:15:00,31.55,83.52,0.0
47878060601,00:15:00,18.44,93.25,0.0
47871573701,00:15:00,32.08,71.86,0.0
47873728002,00:15:00,41.94,51.49,0.0
47874090402,00:15:00,42.77,29.5,0.0
47871573601,00:15:00,48.75,15.88,0.0
47877362901,00:15:00,37.7,46.68,0.0
57173567001,00:15:00,37.5,74.43,0.0
47877363201,00:15:00,38.28,61.48,0.0
47871275101,00:15:00,35.67,69.62,0.0
47874090601,00:15:00,40.49,54.51,0.0
47871162701,00:15:00,47.04,40.42,0.0
47872982602,00:15:00,50.0,21.64,0.0
47871275102,00:15:00,48.78,13.19,0.08
47870749701,00:15:00,30.22,69.78,0.0
47871361401,00:15:00,21.8,74.13,0.0
47870084102,00:15:00,46.82,16.58,0.0
47870747601,00:30:00,12.83,71.86,0.0
47875227101,00:30:00,13.63,91.9,0.0
47873727801,00:30:00,35.07,51.15,0.0
47877865902,00:30:00,43.07,31.58,0.0
47877892401,00:30:00,46.51,63.72,0.0
47874204801,00:30:00,49.06,22.81,0.0
47877865901,00:30:00,29.67,63.01,0.0
47878073101,00:30:00,20.63,82.83,0.0
47877915901,00:30:00,21.56,87.44,0.0
47878052001,00:30:00,16.98,63.72,0.0
47876075601,00:30:00,48.07,22.27,0.0
57174250701,00:30:00,49.38,30.25,0.0
47871828301,00:30:00,27.65,85.45,0.0
47870654901,00:30:00,38.87,63.95,0.0
47871351801,00:30:00,36.09,64.45,0.0
47871337502,00:30:00,48.02,19.41,0.0
47877945001,00:30:00,32.93,79.62,0.0
47875227002,00:30:00,17.84,86.78,0.0
47877895601,00:30:00,18.26,46.35,0.0
57170544401,00:30:00,24.16,52.92,0.0
47871416901,00:30:00,23.73,77.61,0.0
47877895501,00:30:00,39.29,65.18,0.0
47874090601,00:30:00,39.0,54.0,0.0
47878059701,00:30:00,33.01,67.27,0.0
47872101401,00:30:00,14.83,87.47,0.0
47870084102,00:30:00,47.71,18.87,0.0
47877362901,00:30:00,38.08,45.81,0.0
47870084001,00:30:00,43.22,41.02,0.0
47877866002,00:30:00,50.0,3.98,0.0
47878072201,00:30:00,32.6,84.01,0.0
47871381401,00:30:00,48.36,16.16,0.0
47870666001,00:30:00,46.91,26.68,0.0
47874090402,00:30:00,41.03,32.59,0.0
47871844201,00:30:00,49.51,12.81,0.0
47871255602,00:30:00,34.07,58.49,0.0
47870451002,00:30:00,11.93,92.11,0.0
47876086401,00:30:00,45.0,54.58,0.0
47877889701,00:30:00,38.33,75.0,0.0
47871210701,00:30:00,32.34,75.05,0.0
47876085801,00:30:00,32.61,69.67,0.0
47875390302,00:30:00,17.05,76.96,0.83
57171936801,00:30:00,42.11,54.87,0.0
47870749801,00:30:00,48.04,29.25,0.0
47872101402,00:30:00,16.82,90.43,0.0
47870484001,00:30:00,27.11,100.0,0.0
57174250602,00:30:00,42.58,64.84,0.0
47871337501,00:30:00,48.29,36.02,0.0
47872982602,00:30:00,49.8,13.98,0.0
47878060601,00:30:00,18.17,92.67,0.0
47871361401,00:30:00,21.16,75.31,0.0
47870666002,00:30:00,45.42,38.73,0.0
47870160502,00:30:00,33.2,82.59,0.0
47877362802,00:30:00,44.83,19.89,0.0
47877609501,00:30:00,31.53,83.33,0.0
47871275101,00:30:00,37.87,68.03,0.0
47871573701,00:30:00,36.83,75.15,0.15
57173567001,00:30:00,36.75,73.8,0.0
47871573601,00:30:00,49.05,13.93,0.0
47877363201,00:30:00,40.35,57.46,0.0
47871348702,00:30:00,12.62,96.35,0.0
47877362902,00:30:00,32.31,76.92,0.0
47875390401,00:30:00,27.15,58.97,0.0
47872666301,00:30:00,33.62,43.54,0.0
47871162701,00:30:00,47.03,39.6,0.0
47871573602,00:30:00,46.42,34.33,0.0
47871275102,00:30:00,48.21,15.36,0.0
47870749701,00:30:00,31.9,67.94,0.0
47878060401,00:30:00,34.24,60.51,0.0
47877362801,00:30:00,48.36,56.97,0.0
47871317201,00:30:00,41.84,55.93,0.0
47871209902,00:30:00,51.97,48.6,0.0
47871346101,00:30:00,42.92,56.49,0.0
47870660302,00:30:00,27.47,76.28,0.0
47877901601,00:30:00,9.92,94.77,0.0
47871844301,00:30:00,37.05,62.4,0.0
47872632501,00:30:00,11.68,95.07,0.0
47872555302,00:30:00,21.41,75.46,0.0
47870286301,00:30:00,26.09,88.34,0.0
47872094201,00:30:00,31.13,57.6,15.56
47871324401,00:30:00,49.55,0.53,0.0
47870451001,00:30:00,10.56,93.27,0.0
47878059802,00:30:00,45.33,33.27,0.0
47871294101,00:30:00,36.26,53.82,0.0
47872983001,00:30:00,7.14,55.03,0.0
47870484301,00:30:00,31.13,55.01,0.0
47871573702,00:30:00,45.52,21.57,0.0
47871209901,00:30:00,47.88,34.68,0.0
47872109601,00:30:00,40.86,30.29,0.0
47873728001,00:30:00,48.75,11.69,0.0
47878080101,00:30:00,14.66,89.66,0.0
47878060701,00:30:00,20.31,83.05,0.0
47877929901,00:30:00,22.98,84.54,0.0
47873728401,00:30:00,49.37,11.81,0.0
47872071702,00:30:00,15.41,85.55,0.0
47872555301,00:30:00,25.4,67.59,0.0
47874140202,00:30:00,25.1,81.62,0.0
47870854202,00:30:00,24.53,82.47,0.0
47877866001,00:30:00,43.13,23.71,0.0
47872955401,00:30:00,21.53,89.37,0.0
47873728201,00:30:00,46.49,34.83,0.0
47870286802,00:30:00,44.91,25.95,0.0
47872109602,00:30:00,47.59,26.2,0.0
47878072101,00:30:00,23.35,85.3,0.0
47871210401,00:30:00,19.64,97.77,0.14
47870654902,00:30:00,34.38,66.07,0.0
57172604701,00:30:00,39.62,83.96,0.0
47872094202,00:30:00,39.6,42.28,0.0
47872559901,00:30:00,48.42,16.32,0.0
47876086301,00:30:00,45.97,24.45,0.0
57171273701,00:30:00,29.04,87.43,0.0
47871317202,00:30:00,51.23,18.51,0.0
47872559902,00:30:00,39.66,50.68,0.0
47871210502,00:30:00,20.89,81.77,0.0
47877363202,00:30:00,40.37,60.37,0.19
47873728002,00:30:00,39.05,54.18,0.0
47871256001,00:30:00,24.11,76.71,0.0
47874156202,00:30:00,26.37,76.1,0.0
47871346002,00:30:00,37.69,68.47,0.0
